"","scores_adabag","scores_svm","scores_rf"
"199",0.5,0.5,0.5
"200",0.5,0.5,0.5
"201",1,1,1
"202",1,1,1
"203",1,1,1
"204",0.5,0.5,0.5
"205",0.5,0.5,0.5
"206",0.5,0.5,1
"207",0.5,0.5,1
"208",0.5,0.5,0.5
"209",0.5,0.5,0.5
"210",0.5,0.5,0.5
"211",0.5,0.5,0.5
"212",1,1,1
"213",1,1,1
"214",1,1,1
"215",0.5,0.5,0.5
"216",1,1,1
"217",0.5,0.5,0.5
"218",0.5,0.5,0
"219",0.5,0.5,0.5
"220",0.5,0.5,0.5
"221",1,1,1
"222",1,1,1
"223",1,1,1
"224",1,1,1
"225",1,1,1
"226",1,1,1
"227",0.5,0.5,0.5
"228",0.5,0.5,0.5
"229",0.5,0.5,0.5
"230",0.5,0.5,0.5
"231",1,1,1
"232",0.5,0.5,0.5
"233",1,1,1
"234",1,1,1
"235",1,1,1
"236",0.5,0.5,0.5
"237",0.5,0.5,0.5
"238",0.5,0,0.5
"239",1,1,1
"240",1,1,1
"241",0.5,0.5,0.5
"242",1,1,1
"243",1,1,1
"244",1,1,1
"245",0.5,0.5,0.5
"246",1,1,1
"247",0,0,0
"248",1,1,1
"249",1,1,1
"250",0.5,0.5,0.5
"251",1,1,1
"252",1,1,1
"253",1,1,1
"254",0.5,0.5,0.5
"255",0.5,0.5,0.5
"256",1,1,1
"257",0.5,0.5,0.5
"258",0.5,0.5,0.5
"259",0.5,0.5,0.5
"260",0.5,0.5,0.5
"261",1,1,1
"262",0.5,0.5,0.5
"263",0.5,0.5,0.5
"264",1,1,1
"265",1,1,1
"266",1,1,1
"267",1,1,1
"268",1,1,1
"269",1,1,1
"270",1,1,1
"271",1,1,1
"272",0.5,0.5,0.5
"273",1,1,1
"274",0.5,0.5,0.5
"275",0.5,0.5,0.5
"276",0.5,0.5,0.5
"277",1,1,1
"278",1,1,1
"279",1,1,1
"280",0.5,0.5,0.5
"281",0.5,0.5,0.5
"282",0.5,0.5,0.5
"283",1,1,1
"284",1,1,1
"285",1,1,1
"286",0.5,0.5,0.5
"287",0.5,0.5,0.5
"288",0.5,0.5,0.5
"289",1,1,1
"290",0.5,0,0.5
"291",0.5,0.5,0.5
"292",1,1,1
"293",1,1,1
"294",1,1,1
"295",1,1,1
"296",1,1,1
"297",1,1,1
"298",1,1,1
"299",1,1,1
"300",0.5,0.5,0.5
"301",1,1,1
"302",1,1,1
"303",1,1,1
"304",0.5,0.5,0.5
"305",1,1,1
"306",1,1,1
"307",0.5,0.5,0.5
"308",1,1,1
"309",1,1,1
"310",0.5,0.5,0.5
"311",0.5,0.5,0.5
"312",1,1,1
"313",1,1,1
"314",1,1,1
"315",1,1,1
"316",1,1,1
"317",0.5,0.5,0.5
"318",0.5,0.5,0.5
"319",1,1,1
"320",1,1,1
"321",1,1,1
"322",1,1,1
"323",0.5,0.5,0.5
"324",0,0,0
"325",0.5,0.5,0.5
"326",0.5,0.5,0.5
"327",1,1,1
"328",1,1,1
"329",1,1,1
"330",1,1,1
"331",0.5,0.5,0.5
"332",1,1,1
"333",1,1,1
"334",1,1,1
"335",0.5,0.5,0.5
"336",1,1,1
"337",0.5,0.5,0.5
"338",0.5,0.5,0.5
"339",0.5,0.5,0.5
"340",1,1,1
"341",1,1,1
"342",1,1,1
"343",1,1,1
"344",0.5,0.5,0.5
"345",0.5,0.5,0.5
"346",1,1,1
"347",0.5,0.5,0.5
"348",1,1,1
"349",1,1,1
"350",1,1,1
"351",1,1,1
"352",0.5,0.5,0.5
"353",1,1,1
"354",0.5,0.5,0.5
"355",1,1,1
"356",0.5,0.5,0.5
"357",0.5,0.5,1
"358",0.5,0.5,0.5
"359",1,1,1
"360",0.5,0.5,0.5
"361",0.5,0.5,0.5
"362",1,1,1
"363",0.5,0.5,0.5
"364",0.5,0.5,0.5
"365",0.5,0.5,0.5
"366",0.5,0.5,0.5
"367",1,1,0.5
"368",1,1,1
"369",1,1,1
"370",1,1,1
"371",0.5,0.5,0.5
"372",0.5,0.5,0.5
"373",0.5,0.5,0.5
"374",0.5,0.5,1
"375",0.5,0.5,0.5
"376",0.5,0.5,0.5
"377",1,1,1
"378",0.5,0.5,0.5
"379",0.5,0.5,0.5
"380",0.5,0.5,0.5
"381",0.5,0.5,0.5
"382",0.5,0.5,0.5
"383",0,0,0
"384",0.5,0.5,0.5
"385",0.5,0.5,1
"386",0.5,0.5,1
"387",0.5,0.5,1
"388",0.5,0.5,0.5
"389",0.5,0.5,0.5
"390",0.5,0.5,0.5
"391",0.5,0.5,0.5
"392",0.5,0.5,0.5
"393",0.5,0.5,0.5
"394",0,0.5,0
"395",1,1,1
"396",0.5,0.5,0.5
"397",1,1,1
"398",0.5,0.5,0.5
"399",0,0,0
"400",0.5,0.5,0.5
"401",1,1,1
"402",0.5,0.5,0.5
"403",0.5,0.5,0.5
"404",0,0,0
"405",0,0,0.5
"406",0.5,0.5,0.5
"407",1,1,1
"408",1,1,1
"409",1,1,1
"410",1,1,1
"411",1,1,1
"412",1,1,1
"413",1,1,1
"414",0.5,0.5,0.5
"415",0.5,0.5,0.5
"416",0.5,0.5,0.5
"417",0.5,0.5,0.5
"418",1,1,1
"419",0.5,0.5,1
"420",0.5,0.5,0.5
"421",1,1,1
"422",1,1,1
"423",1,1,1
"424",0.5,0.5,1
"425",0,0.5,0.5
"426",0.5,0.5,0.5
"427",0.5,0.5,0.5
"428",0.5,0.5,0.5
"429",0.5,0.5,0.5
"430",0.5,0.5,1
"431",0,0,0.5
"432",0.5,0.5,0.5
"433",0.5,0.5,0.5
"434",1,1,1
"435",0.5,0.5,0.5
"436",0.5,0.5,0.5
"437",0.5,1,1
"438",0.5,0.5,0.5
"439",1,1,1
"440",1,1,1
"441",1,1,1
"442",1,1,1
"443",1,1,1
"444",0,0,0
"445",0,0,0
"446",1,1,1
"447",0,0,0.5
"448",0.5,0.5,0.5
"449",1,1,1
"450",0,0,0.5
"451",1,1,1
"452",1,1,1
"453",1,1,1
"454",1,1,1
"455",1,1,1
"456",1,1,1
"457",1,1,1
"458",1,1,1
"459",1,1,1
"460",1,1,1
"461",1,1,1
"462",1,1,1
"463",1,1,1
"464",1,1,1
"465",1,1,1
"466",0.5,0.5,0.5
"467",0,0,0
"468",0.5,0.5,0.5
"469",1,1,1
"470",0.5,0.5,0.5
"471",0.5,0.5,0.5
"472",0.5,0.5,0.5
"473",0.5,1,1
"474",1,1,1
"475",1,1,1
"476",0.5,0.5,0.5
"477",0.5,0.5,0.5
"478",1,1,1
"479",1,0.5,1
"480",1,0.5,1
"481",0.5,0.5,0.5
"482",1,1,1
"483",1,1,1
"484",1,1,1
"485",0.5,0,0.5
"486",1,1,1
"487",0.5,0.5,0.5
"488",1,1,1
"489",1,1,1
"490",0.5,0.5,0.5
"491",1,1,1
"492",1,1,1
"493",0.5,0.5,0.5
"494",1,1,1
"495",0.5,0.5,0.5
"496",0.5,0.5,0.5
"497",0.5,0.5,0.5
"498",0.5,0.5,0.5
"499",0.5,0.5,0.5
"500",0.5,0.5,0.5
"501",1,1,1
"502",1,1,1
"503",0.5,0.5,0.5
"504",0.5,0.5,0.5
"505",0.5,0.5,0.5
"506",0.5,0.5,0.5
"507",0.5,0.5,0.5
"508",0.5,0.5,0.5
"509",0.5,0.5,0.5
"510",0.5,0.5,0.5
"511",1,1,1
"512",1,1,1
"513",0.5,0.5,0.5
"514",0.5,0.5,0.5
"515",0.5,0.5,0.5
"516",0.5,0.5,0.5
"517",0.5,0.5,0.5
