"","scores_adabag","scores_svm","scores_rf"
"245",0.5,0.5,0.5
"246",0.5,1,1
"247",0.5,0.5,0.5
"248",1,1,1
"249",0,0,0.5
"250",0.5,0.5,0.5
"251",1,1,1
"252",0.5,0.5,0.5
"253",0.5,0.5,0.5
"254",0.5,1,1
"255",0.5,0.5,0.5
"256",1,0.5,1
"257",0.5,0.5,0.5
"258",0.5,0.5,0.5
"259",0.5,0.5,0.5
"260",1,1,1
"261",1,1,1
"262",0.5,0.5,0.5
"263",0.5,0.5,0.5
"264",0.5,0.5,0.5
"265",1,1,1
"266",1,1,1
"267",0.5,0.5,0.5
"268",0.5,0.5,0.5
"269",0.5,0.5,0.5
"270",0.5,0.5,0.5
"271",0.5,0.5,0.5
"272",0.5,0.5,0.5
"273",0.5,0.5,1
"274",0.5,0.5,0.5
"275",0.5,1,1
"276",0.5,0,0.5
"277",0,0,0
"278",0.5,0.5,0.5
"279",1,1,1
"280",0.5,0.5,0.5
"281",0.5,0.5,0.5
"282",1,1,0.5
"283",1,1,1
"284",0.5,0.5,0.5
"285",1,1,1
"286",0.5,0.5,0.5
"287",0.5,0.5,0.5
"288",0.5,1,1
"289",0.5,0.5,0.5
"290",0.5,0.5,0.5
"291",0.5,0.5,0.5
"292",1,1,1
"293",0,0.5,0.5
"294",1,1,1
"295",0.5,0.5,0.5
"296",1,1,1
"297",0.5,0.5,0.5
"298",0.5,0.5,0.5
"299",0.5,1,1
"300",0.5,0.5,0.5
"301",1,1,1
"302",0.5,0.5,0
"303",1,1,1
"304",0.5,0.5,0.5
"305",0.5,1,1
"306",0.5,0.5,0.5
"307",1,1,1
"308",1,1,1
"309",0.5,0.5,0.5
"310",0.5,0.5,0.5
"311",1,1,1
"312",0.5,0.5,0.5
"313",0.5,0.5,0.5
"314",1,1,1
"315",1,1,1
"316",1,0.5,1
"317",0.5,0.5,0.5
"318",0.5,0.5,0.5
"319",0.5,0.5,0.5
"320",1,1,1
"321",1,1,1
"322",1,0.5,1
"323",0.5,0.5,0.5
"324",1,1,1
"325",0.5,0.5,0.5
"326",1,1,1
"327",0.5,1,1
"328",1,1,1
"329",1,1,0.5
"330",1,1,1
"331",0.5,0.5,0.5
"332",1,1,1
"333",0.5,0.5,0.5
"334",0.5,1,1
"335",0.5,0.5,0.5
"336",0.5,0.5,0.5
"337",1,1,1
"338",0.5,0.5,0.5
"339",1,1,1
"340",0.5,0.5,0.5
"341",0.5,0.5,0.5
"342",0.5,1,1
"343",0.5,0.5,0.5
"344",1,0.5,0.5
"345",1,1,1
"346",0.5,0.5,0.5
"347",0.5,0.5,0.5
"348",0.5,1,1
"349",0.5,0.5,0.5
"350",0.5,0.5,0.5
"351",0.5,0.5,0.5
"352",0.5,0.5,0.5
"353",0.5,0.5,0.5
"354",0.5,0.5,0.5
"355",0.5,0.5,0.5
"356",0.5,0.5,0.5
"357",0.5,0.5,0.5
"358",1,1,1
"359",1,1,1
"360",1,1,1
"361",1,1,1
"362",1,1,1
"363",1,1,1
"364",0.5,0.5,0.5
"365",0.5,0.5,0.5
"366",1,1,1
"367",0.5,0.5,0.5
"368",1,1,1
"369",1,1,1
"370",0.5,0.5,0.5
"371",0.5,0.5,0.5
"372",0.5,0.5,0.5
"373",1,1,1
"374",1,1,1
"375",0.5,0.5,0.5
"376",0.5,0.5,0.5
"377",0.5,0.5,0.5
"378",0.5,0.5,0.5
"379",1,0.5,1
"380",1,0.5,1
"381",1,1,1
"382",0.5,0.5,0.5
"383",0.5,0.5,0.5
"384",0.5,1,1
