"","scores_adabag","scores_svm","scores_rf"
"243",1,1,1
"244",0.5,0.5,0.5
"245",1,1,1
"246",0.5,0.5,0.5
"247",1,1,1
"248",0.5,0.5,0.5
"249",0.5,0.5,0.5
"250",0.5,0.5,1
"251",0,0.5,0
"252",0.5,0.5,0.5
"253",0.5,0.5,0.5
"254",0.5,0.5,0.5
"255",1,1,1
"256",1,1,1
"257",0,0.5,0.5
"258",0.5,0.5,0.5
"259",0.5,1,1
"260",0.5,0.5,0.5
"261",0.5,0.5,0.5
"262",0.5,0.5,0.5
"263",0.5,0.5,0.5
"264",0.5,0.5,0.5
"265",0.5,0.5,0.5
"266",0.5,0.5,0.5
"267",0.5,0.5,1
"268",1,1,1
"269",1,1,1
"270",0.5,0.5,0.5
"271",0.5,0.5,0.5
"272",0.5,0.5,0.5
"273",0.5,0.5,1
"274",0.5,0.5,0.5
"275",0.5,0.5,0.5
"276",1,1,1
"277",0.5,0.5,1
"278",1,1,1
"279",0.5,0.5,0.5
"280",0.5,0.5,0.5
"281",1,1,1
"282",0.5,0.5,0.5
"283",0,0,0.5
"284",0.5,1,0.5
"285",0,0.5,0.5
"286",0.5,0,0.5
"287",1,1,1
"288",1,1,1
"289",1,1,1
"290",0.5,1,1
"291",0.5,0.5,0.5
"292",1,1,1
"293",0.5,0.5,0.5
"294",1,1,1
"295",0.5,0.5,0.5
"296",0.5,0.5,0.5
"297",0.5,0.5,0.5
"298",0.5,0.5,0.5
"299",0.5,0.5,0.5
"300",0.5,1,1
"301",1,1,1
"302",0.5,0.5,0.5
"303",1,1,1
"304",0.5,0.5,0.5
"305",1,0.5,1
"306",0.5,0.5,0.5
"307",0.5,0,0.5
"308",0.5,0.5,0.5
"309",1,1,1
"310",1,1,1
"311",0.5,0.5,0.5
"312",0.5,0.5,0.5
"313",0.5,0.5,0.5
"314",0.5,0.5,0.5
"315",0.5,0.5,0.5
"316",0.5,0.5,0.5
"317",0.5,0.5,0.5
"318",0.5,0.5,0.5
"319",0.5,0.5,0.5
"320",0.5,1,1
"321",1,1,1
"322",1,1,1
"323",1,1,1
"324",1,1,1
"325",0.5,0.5,0.5
"326",1,1,1
"327",0.5,0.5,0.5
"328",1,1,1
"329",0.5,0.5,0.5
"330",0.5,0.5,0.5
"331",0.5,1,0.5
"332",1,1,1
"333",0.5,0.5,0.5
"334",0.5,0.5,0.5
"335",0.5,0.5,0.5
"336",0.5,0.5,0.5
"337",0.5,1,1
"338",1,1,1
"339",0.5,0.5,0.5
"340",0.5,0.5,0.5
"341",1,0.5,1
"342",0.5,0.5,0.5
"343",0.5,0.5,0.5
"344",0.5,0.5,0.5
"345",0.5,0.5,0.5
"346",0.5,0.5,0.5
"347",1,1,1
"348",0.5,0.5,0.5
"349",1,1,1
"350",0.5,0.5,0.5
"351",0.5,0.5,0.5
"352",0.5,0.5,0.5
"353",0.5,0.5,0.5
"354",0.5,1,1
"355",0.5,0.5,0.5
"356",1,1,1
"357",1,1,1
"358",0.5,0.5,0.5
"359",0.5,0.5,0.5
"360",0.5,0.5,0.5
"361",1,1,1
"362",0.5,0.5,0.5
"363",0.5,1,0.5
"364",0.5,0.5,0.5
"365",1,1,1
"366",0.5,0.5,0.5
"367",0.5,0.5,0.5
"368",1,1,1
"369",0.5,0.5,0.5
"370",0.5,0.5,0.5
"371",0.5,0.5,0.5
"372",0.5,0.5,0.5
"373",0.5,0.5,0.5
"374",0.5,0.5,0.5
"375",0.5,0.5,0.5
"376",0.5,0.5,0.5
"377",0.5,0.5,0.5
"378",0.5,0.5,0.5
"379",0.5,0.5,0.5
"380",0.5,0.5,0.5
"381",0.5,0.5,0.5
"382",0.5,0.5,0.5
"383",0.5,1,0.5
"384",0.5,1,1
"385",0.5,0.5,0.5
"386",0.5,0.5,0.5
"387",1,1,1
"388",1,1,1
"389",0.5,0.5,0.5
"390",0.5,1,1
"391",0.5,0.5,0.5
"392",1,1,1
"393",0.5,0.5,0.5
"394",1,0.5,1
"395",1,1,1
"396",1,0.5,0.5
"397",1,1,0.5
"398",0.5,0.5,0.5
"399",0.5,0.5,0.5
"400",1,1,1
"401",0,0.5,0.5
"402",1,1,1
"403",1,1,1
"404",0.5,1,1
"405",0.5,0.5,0.5
"406",0.5,0.5,0.5
"407",0,0,0.5
"408",0.5,0.5,0.5
"409",0,0.5,0
"410",1,1,1
"411",0,0.5,0.5
"412",0.5,0.5,0.5
"413",0.5,1,1
"414",0.5,0.5,0.5
"415",0.5,0.5,0.5
"416",1,0.5,1
"417",1,1,1
"418",0.5,0.5,0.5
"419",1,1,1
"420",1,0.5,0.5
"421",0.5,0.5,0.5
"422",0.5,0.5,0.5
"423",0.5,0.5,0.5
"424",0.5,0.5,0.5
"425",0.5,0.5,0.5
"426",1,0.5,1
"427",0.5,0.5,0.5
"428",1,1,1
"429",1,1,1
"430",0.5,0.5,0.5
"431",0.5,0.5,0.5
"432",0.5,0.5,0.5
"433",0.5,0.5,0.5
"434",0.5,0.5,0.5
"435",1,1,1
"436",0.5,0.5,0.5
"437",0.5,0.5,0.5
"438",0.5,0.5,0.5
"439",0.5,0.5,0.5
"440",0.5,0.5,0.5
"441",0.5,0.5,0.5
"442",0.5,1,1
"443",0.5,0.5,0.5
"444",1,1,1
"445",0.5,0.5,0.5
"446",1,1,1
"447",0.5,0.5,0.5
"448",0.5,0.5,0.5
"449",0.5,0.5,0.5
"450",0.5,0.5,0.5
"451",1,0.5,1
"452",1,1,1
"453",0.5,0.5,0.5
"454",0.5,0.5,0.5
"455",1,1,1
"456",1,1,1
"457",0.5,0,0.5
"458",0.5,0.5,0.5
"459",0.5,0.5,0.5
"460",0.5,0.5,0.5
"461",1,1,1
"462",0.5,0.5,0.5
"463",0.5,0.5,0.5
"464",0.5,0.5,0.5
"465",1,1,1
"466",1,1,1
"467",0.5,0.5,0.5
"468",0.5,0.5,0.5
"469",0.5,0.5,0.5
"470",0.5,0.5,0.5
"471",1,1,0.5
"472",0.5,0.5,0.5
"473",1,1,1
"474",1,1,1
"475",0.5,0.5,0.5
"476",0.5,0.5,0.5
"477",0.5,1,1
"478",0.5,1,0.5
"479",0.5,1,1
"480",0.5,0.5,0.5
"481",1,0.5,1
"482",0.5,0.5,0.5
"483",0.5,0.5,0.5
"484",0.5,0.5,0.5
"485",0.5,0.5,0.5
"486",0.5,0.5,1
"487",0.5,0.5,0.5
"488",0.5,0.5,0.5
"489",0.5,0.5,0.5
"490",1,1,1
"491",0.5,1,1
"492",0.5,0.5,0.5
"493",1,1,1
"494",0.5,0.5,0.5
"495",0.5,0.5,0.5
"496",0.5,0.5,0.5
"497",0.5,0.5,0.5
"498",0.5,0.5,0.5
"499",1,1,1
"500",0.5,0.5,0.5
"501",0.5,0.5,0.5
"502",0.5,0.5,0.5
"503",0.5,0.5,0.5
"504",0.5,0.5,0.5
"505",0.5,0.5,0.5
"506",0.5,1,1
"507",0.5,0.5,0.5
"508",0.5,0.5,1
"509",1,1,1
"510",1,1,1
"511",0.5,0.5,0.5
"512",1,1,1
"513",0.5,0.5,0.5
"514",1,1,1
"515",1,1,1
"516",0.5,0.5,0.5
"517",1,1,1
"518",0.5,0.5,0.5
"519",1,1,1
"520",1,1,1
"521",0,0.5,0
"522",0.5,0.5,0.5
"523",0.5,1,1
"524",1,1,1
"525",0.5,0.5,0.5
"526",1,1,1
"527",0.5,0.5,0.5
"528",0.5,0.5,0.5
"529",0.5,0.5,0.5
"530",0.5,0.5,0.5
"531",1,1,1
"532",1,1,1
"533",0.5,1,1
"534",0.5,0.5,0.5
"535",1,0.5,0.5
"536",0.5,1,1
"537",0.5,0.5,0.5
"538",0,0.5,0
"539",0.5,0.5,0.5
"540",0.5,0.5,0.5
"541",0.5,0.5,0.5
"542",0.5,1,1
"543",0.5,0.5,0.5
"544",1,1,1
"545",0.5,0.5,0.5
"546",0.5,0,0.5
"547",0,0.5,0.5
"548",0.5,0.5,0.5
"549",0.5,0.5,0.5
"550",1,1,1
"551",0.5,0.5,0.5
"552",0.5,0.5,0.5
"553",0.5,0.5,0.5
"554",0.5,0.5,0.5
"555",0.5,0.5,0.5
"556",0.5,0.5,0.5
"557",0.5,0.5,0.5
"558",0.5,0.5,0.5
"559",0.5,0.5,0.5
"560",0.5,0.5,0.5
"561",0.5,0.5,0.5
"562",0.5,0.5,0.5
"563",0.5,0.5,0.5
"564",0.5,0.5,0.5
"565",1,1,1
"566",0,0,0.5
"567",1,1,1
"568",0.5,0.5,0.5
"569",0.5,0.5,0.5
"570",0.5,0.5,0.5
"571",0.5,1,1
"572",0.5,0.5,0.5
"573",0.5,0.5,0.5
"574",0.5,0.5,0.5
"575",1,1,1
"576",1,1,1
"577",1,1,1
"578",1,1,1
"579",1,1,1
"580",0.5,0.5,0.5
"581",1,1,1
"582",0,0,0
"583",0.5,0.5,0.5
"584",0.5,0.5,0.5
"585",0.5,1,1
"586",0.5,0.5,0.5
"587",0.5,0.5,0.5
"588",0.5,0.5,0.5
"589",1,1,1
"590",0.5,0.5,0.5
"591",1,1,1
"592",1,0.5,1
"593",0.5,0.5,0.5
"594",1,1,1
"595",0.5,0.5,0.5
"596",0.5,0.5,0.5
"597",0.5,0.5,0.5
"598",1,1,1
"599",0.5,0.5,0.5
"600",0.5,0.5,0.5
"601",0.5,0.5,0.5
"602",0.5,1,0.5
"603",0.5,0.5,0
"604",0.5,1,1
"605",1,1,1
"606",0.5,0.5,0.5
"607",0.5,0.5,0.5
"608",0.5,0.5,0.5
"609",0.5,0.5,0.5
"610",1,0.5,0.5
"611",1,0.5,1
"612",0.5,0.5,0.5
"613",1,1,1
"614",0.5,0.5,0.5
"615",0.5,0.5,0.5
"616",0.5,1,1
"617",1,1,1
"618",0.5,0.5,0.5
"619",0.5,0.5,0.5
"620",0.5,0.5,0.5
"621",0.5,0.5,0.5
"622",0.5,0.5,0.5
"623",0.5,0.5,0.5
"624",0.5,0.5,0.5
"625",0.5,1,1
"626",0.5,0.5,0.5
"627",0.5,1,1
"628",0.5,0.5,0.5
"629",0.5,0.5,0.5
"630",0.5,0.5,0.5
"631",0.5,0.5,0.5
"632",0.5,0,0.5
"633",0.5,0.5,0.5
"634",1,1,1
"635",1,1,1
"636",1,1,1
"637",0.5,0.5,0.5
"638",1,1,1
"639",0.5,0.5,0.5
"640",0.5,0.5,0.5
"641",1,1,1
"642",0.5,0.5,1
"643",1,1,1
"644",0.5,0,0.5
"645",1,0.5,1
"646",0.5,0.5,0.5
"647",0.5,1,1
"648",0.5,0.5,0.5
"649",0.5,0.5,0.5
"650",1,1,1
"651",0.5,0.5,0.5
"652",1,1,1
"653",0.5,0.5,0.5
"654",0.5,0.5,0.5
"655",1,1,1
"656",0.5,0.5,0.5
"657",0.5,0.5,0.5
"658",0.5,1,1
"659",0.5,0.5,0.5
"660",1,1,1
"661",0.5,0.5,1
"662",0.5,0.5,0.5
"663",0.5,0.5,0.5
"664",0,0.5,0.5
"665",0.5,0.5,0.5
"666",0.5,0.5,0.5
"667",1,1,1
"668",0.5,0.5,0.5
"669",0.5,0.5,0.5
"670",0.5,0.5,0.5
"671",0.5,1,1
"672",0.5,0.5,0.5
"673",1,1,1
"674",0.5,0.5,0.5
"675",1,1,1
"676",0.5,0.5,0.5
"677",1,1,1
"678",0.5,0.5,0.5
"679",0.5,0.5,0.5
"680",0.5,0.5,0.5
"681",1,1,1
"682",1,1,1
"683",0.5,0.5,0.5
"684",0.5,0.5,0.5
"685",0.5,0.5,0.5
"686",0.5,0,0.5
"687",0.5,0.5,0.5
"688",0.5,0.5,0.5
"689",0.5,1,1
"690",1,1,1
"691",1,1,1
"692",0.5,0.5,0.5
"693",1,1,1
"694",1,0.5,1
"695",1,1,1
"696",0.5,0.5,0.5
"697",0,0.5,0.5
"698",0.5,1,1
"699",1,1,1
"700",0.5,0.5,0.5
"701",1,1,1
"702",0.5,0.5,0.5
"703",1,1,1
"704",0.5,0.5,1
"705",1,1,1
"706",0.5,0.5,0.5
