"","scores_adabag","scores_svm","scores_rf"
"264",0,0.5,0.5
"265",0.5,0.5,0.5
"266",1,1,1
"267",0.5,0.5,0.5
"268",0.5,1,1
"269",1,1,1
"270",0.5,0.5,0.5
"271",1,1,1
"272",1,1,1
"273",0.5,1,1
"274",1,1,1
"275",1,0.5,1
"276",0.5,0.5,0.5
"277",0.5,0.5,1
"278",0.5,0.5,0.5
"279",0.5,0.5,0.5
"280",0.5,1,1
"281",0.5,0,0.5
"282",0.5,0.5,0.5
"283",1,1,1
"284",0,0.5,0.5
"285",0.5,0.5,0.5
"286",0.5,0.5,0.5
"287",0.5,1,1
"288",0.5,0.5,0.5
"289",1,1,1
"290",1,0.5,1
"291",0.5,1,0.5
"292",0.5,0,0.5
"293",1,1,1
"294",0.5,1,1
"295",1,1,1
"296",0.5,0.5,0.5
"297",1,1,1
"298",0,0.5,0.5
"299",0.5,0.5,0.5
"300",1,0.5,1
"301",0,0,0
"302",0.5,0.5,0.5
"303",1,1,1
"304",0.5,0.5,0.5
"305",0.5,0.5,0.5
"306",0.5,0.5,0.5
"307",0.5,0.5,1
"308",0.5,0.5,0.5
"309",0.5,0.5,0.5
"310",0.5,0.5,0.5
"311",1,1,1
"312",0.5,0.5,0.5
"313",0.5,0.5,0.5
"314",1,1,1
"315",1,1,1
"316",0.5,0.5,0.5
"317",1,1,1
"318",1,1,1
"319",1,1,1
"320",1,1,1
"321",1,1,1
"322",1,0.5,1
"323",0.5,0.5,0.5
"324",0.5,1,1
"325",0.5,0.5,0.5
"326",0.5,0.5,0.5
"327",0.5,0,0.5
"328",1,1,1
"329",0.5,0.5,1
"330",0.5,1,1
"331",0.5,0.5,0.5
"332",1,1,1
"333",0.5,0.5,0.5
"334",1,1,1
"335",1,1,1
"336",0.5,0.5,0.5
"337",1,1,1
"338",0.5,0.5,0.5
"339",1,1,1
"340",1,1,1
"341",1,1,1
"342",1,1,1
"343",1,1,1
"344",0.5,0.5,0.5
"345",0.5,0.5,0.5
"346",1,1,1
"347",1,1,1
"348",0.5,0.5,0.5
"349",1,1,1
"350",0.5,0.5,0.5
"351",0.5,1,1
"352",1,1,1
"353",0.5,1,1
"354",0.5,0.5,0.5
"355",0,0.5,0
"356",1,1,1
"357",1,1,1
"358",0.5,0.5,0.5
"359",1,1,1
"360",0.5,0.5,0.5
"361",1,1,1
"362",0.5,0.5,1
"363",0.5,0.5,0.5
"364",0,0,0
"365",1,0.5,1
"366",0.5,0.5,0.5
"367",0,0.5,0.5
"368",1,0.5,1
"369",0.5,0.5,0.5
"370",0.5,1,1
"371",1,1,1
"372",0,0,0.5
"373",0.5,0.5,0.5
"374",0.5,0.5,0.5
"375",1,1,1
"376",0.5,0.5,0.5
"377",1,1,1
"378",0,0.5,0.5
"379",0.5,1,1
"380",1,1,1
"381",1,0.5,1
"382",1,1,1
"383",0.5,0.5,0.5
"384",0.5,0.5,0
"385",0,0,0
"386",1,1,1
"387",0.5,0.5,0.5
"388",0,0.5,0.5
"389",1,0.5,1
"390",0.5,0.5,0.5
"391",0,0.5,0.5
"392",0.5,0,0.5
"393",0,0.5,0
"394",0.5,0.5,0.5
"395",0.5,0.5,0.5
"396",0.5,0.5,0.5
"397",0.5,0.5,0.5
"398",0.5,0.5,0.5
"399",0.5,0.5,0.5
"400",0.5,0.5,0.5
"401",0.5,0.5,0.5
"402",0.5,0.5,0.5
"403",0.5,0.5,0.5
"404",1,0.5,0.5
"405",0.5,0.5,0.5
"406",0.5,1,1
"407",1,0.5,1
"408",0.5,0.5,0.5
"409",1,1,1
"410",0.5,0.5,0.5
"411",1,1,1
"412",0.5,0.5,0.5
"413",0.5,0.5,0.5
